The Hotel Alessandra,832-289-3223
"B-Youtiful Face and Body Med Spa, LLC",832-980-0724
AESTHETICS MANAGEMENT SERVICES LLC,713-522-5711
ZO Skin Centre - Houston,832-831-4933
Q The Salon,713-807-0000
Body Envy Med Spa,713-429-4212
Spa810 - Houston,810-280-0245
Flawless Studio,832-660-4476
Alive Med Spa,713-539-0933
Touch of Beauty Cosmedispa,832-248-8142
Camille Cash MD,713-571-0600
West Ave Plastic Surgery,713-591-9283
Milk + Honey - Houston,512-236-1115
Chrysalis Skin & Body Rejuvenation,713-522-2111
Heights Dermatology & Aesthetic Center,713-864-2659
Perfect Skin Med Spa,713-521-9990
Sousan Med Spa,713-527-9878
Yana Skin Care,281-306-1999
Houston Methodist Physician Organization,832-667-5421
Synergy Day Spa,713-474-7220
Institue of Anti-Aging Medicine,713-807-1000
Beautique Day Spa & Salon,713-526-1126
Michaelyndon Inc.,713 963 9121
Glo Sun Spa ,(713) 545-1913
Clearstone Medical Spa,832-460-4200
Kathy Haney,(281) 850-9894
Share Wellness & Medispa,713-621-8200
MedSkin Youth,281-565-0009
MIA Plastic Surgery,832-804-8992
Bella Rinova,713-572-0022
Glow Medical Aesthetics,713-665-4569
Trellis Spa at the Houstonian ,713-685-6788
Mink Lash Spa,832-368-7219
Sensia Studio & Japanese Day Spa,713.627.0070
Galleria Aesthetics,713-552-1122
Suzanne Bruce & Associates,713-850-0470
Bellaire Dermatology Associates,713-661-4383
Glamour Plastic Surgery and Med Spa,713-766-4643
Hiatus Spa + Retreat Houston,713-470-0990
Ovation Med Spa,713-999-4027
DermSurgery Associates,713-669-9222
Goodskin Laser Source,713-339-2600
Helena's Day Spa,713-954-5400
Massage Heights San Felipe Voss,713-278-7529
Village Dermatology,713-952-8400
The Belage Center PLLC,713-978-7878
Asheni Med Spa,817-262-5650
Houston Concierge Medicine,773-732-7234
Royal Villa,713-884-0011
Advanced OBGYN-MedSpa,713-465-5966
Hiatus Spa + Retreat San Antonio,210-202-3355
Woodhouse Day Spa-Quarry Market,830-331-8515
Nova Aesthetics,210-348-9164
Texas Institute of Dermatology,210-698-6777
Texas Dermatology & Laser Specialists,210-829-5180
Plastic & Cosmetic Center and Spa Black,210-270-8595
Best Kept Secret of Paris,903-495-2984
Stadia Medical Spa ,210-881-6270
Face First of San Antonio,210-348-9030
Zohara Makani,210-724-8786
My Health Solutions,210-563-3982
Juan Carlos Garza,210-371-1778
Slimedica,210-880-0549
Turquoise Springs Medical Spa,(210) 253-3313
WowMoms World San Antonio,210-394-1596
Amanda Torres,210-789-6445
Dermatololgy Associates of San Antonio,210-490-4661
Life Time Fitness,210-745-3424
Vita Sana ,210-488-4154
Dermatology Associates of San Antonio,210-657-9338
Dermatology Associates of San Antonio,210-641-9500
Massage Heights of Stone Oak,210-570-9803
Woodhouse Day Spa-La Cantera,830-331-8515
A Perfect Touch,210-209-8118
Life Time Fitness,210-424-0924
Beverly Hills Rejuvenation Center- San Antonio,210-802-2803
Lantana Spa @ JW Marriott San Antonio Hill Country Resort,210-491-5830
Texas Institute of Dermatology,210-698-6777
Aria Salon & Spa,210-902-9092
Kadl Skin,214-901-6601
spa810 - Uptown (Dallas),469-730-3333
"The Ritz-Carlton, Dallas",214-922-4821
Mara's Med Spa,469-730-3333
Hotel Crescent Court,214-871-3232
It's a Secret Med Spa,469-789-0004
Advanced Skin Fitness,214-521-5277
Melinda's Face and Body,214-704-1675
"iFusion MedSpa, LLC",214-335-1039
V-Spa at Hilton Anatole,214-761-7800
OVME,(617) 699-5150
Bella Med Spa & Aesthetics,214-673-7755
ZO Skin Centre - Dallas,214-253-8694
Anh's Skin Care & Esthetics,214-606-0242
Blush Aesthetics and Skincare,214-739-5603
Evanesque Med Spa,214-575-5252
Life Time Fitness,214-624-5824
Flora Kim Dermatology,214-521-1900
McGuiness Dermatology,972-316-4555
Pure Spa & Salon,214-827-4200
Somatique Medical Spa,214-350-1422
Hiatus Spa + Retreat Dallas,214-352-4111
The Face Place,214-350-8898
Luxury on Lovers,214-352-8800
Prism Dermatology,940-393-9582
Bella MD,214-378-6500
Eleven Wellness,214-619-5425
Dallas Center For Dermatology & Aesthetics,214-631-8546
Mara's Med Spa, (214) 373-9500
Lai Aesthetics,(504) 453-9288
Interventional Pain Management,713-777-4040
RENEW BEAUTY,214-369-1600
Lemmon Avenue Age Management LLC,214-220-2712
Epicentre - Park Lane,214-887-1577
"Glow With Me, LLC",870-530-2774
Austin and Reddick Dermatology,214-226-2285
"Ramsey Choucair, MD",214-390-0011
Vitae Med Spa-Dallas,214-983-2000
Ultimate Image,972-800-2127
North Dallas Dermatololgy Associates,214-420-7070
Anh's Skin Health,214-606-0242
Bella Medspa & Aesthetics,214-605-6958
Elevate Med Spa,214-696-9193
"Preventive Wellness-Beyond Health, PA",214-750-7374
Total Med Solutions Dallas,214-987-9200
Zap-It Med Spa,214-600-0707
Nouveau Med Spa,253-358-3667
Elite Medical DFW,972-442-4500
"PDP of Texas, PLLC - Dallas Associated Dermatologist ",214-751-2381
Shellie Liptak Advanced Skincare and Rejuvenation,214-535-2406
JW Mariott Austin,512-474-4777
Milk + Honey Spa and Salon,512-236-1115
Vietver,512-554-8735
La Vie En Rai Ney,512-538-1818
Viva Day Spa- Lamar,512-300-2256
Alite Laser,512-771-2553
SABIA,512.469.0447
Bella Salon Austin,512-474-5999
Kalologie 360 Spa ,512-233-0252
Beleza Med Spa,512-354-1285
Face to Face Spa at West 6th,512-806-3535
Neu Skin,512-680-5974
NewU Plastic Surgery,512-478-6398
Mint and Thyme,512-436-0817
Aloe Skin & Body ,512-344-9394
Wellspring Plastic Surgery,512-600-2888
Toccare Medical Spa,512-533-7317
Westlake Dermatology - Lamar,512-328-3376
Zimmet Vein & Dermatology,512-485-7700
Snyder Dermatology,512-533-9900
Viva Day Spa-35th ,512-361-1786
"Mueller Surgery Center, LLC",512-478-6398
Austin Plastic Surgery Institute,512-732-3001
Calm Skincare Studio,512-771-4950
Red Stella,512-433-6762
Spa La La,512-273-3700
SkinCare Austin,512-327-2227
Dr. Robert Whitfield,877-785-2832
Halina European Day Spa,512-452-3500
Halina European Skin Care,512-452-3500
Skin Savy,512-840-0607
Texas Laser & Aesthetics ,512-850-8438
Austin Skin and Wellness,512-551-8551
Muse Medical Spa,512-230-3422
"Jennifer L. Walden , MD, PLLC",512-328-4100
Austin Skin Plus,512-850-8835
Austin Plastic Surgery Institute,512-732-3000
7 Medspa,512-954-9651
"Elisabeth Potter, MD",512-893-5849
Aesthetica MedSpa,512-899-2639
Lillian Bradford,956-975-5960
Face to Face Spa,512-215-8535
The Woodhouse Day Spa,512-306-1100
Woodhouse Day Spa- Austin,512-306-1100
Body Tonic Med Spa,512-383-5204
More Beautiful You,512-334-9917
Mokara Spa at Omni Barton Creek Resort ,512-329-7945
Hall Plastic Surgery Center,512-327-5337
Life Time Fitness,512-891-4524
Westlake Dermatology & Cosmetic Surgery,512-328-3376
Hiatus Spa + Retreat Fort Worth,817-982-4200
Robert G Anderson Medical Spa,817-870-4616
West Magnolia Plastic Surgery,817-870-4833
Magnolia Ave Med Spa,817-840-5545
Renew Day Spa,817-228-2425
Ethridge Plastic Surgery,817-921-5566
The Woodhouse Day Spa,817-338-1772
Woodhouse Spa - Fort Worth,206-406-7135
Heather Celeste Aesthetics & Wellness,682-215-2020
Kirby Plastic Surgery,817-292-4200
Milk & Honey- Fort Worth,512-236-1115
European Skin Care & Med Spa,817-731-0707
OrangeTwist- Fort Worth,817-717-6753
The Preserve Med Spa & Wellness,817-862-9900
Jeana Wilkins,682-465-4657
Hide Away Spa and Salon Boat Club Location,(817) 238-0200
Megha Laser & Spa,817-361-1372
Salons on the Hill,817-995-9270
Skin MD,817-595-4500
Betty Rajan MD,817-820-0011
Le Reve Anti-Aging & Weightloss Center,682-703-1400
Mira Vista Derm,817-882-6338
Skinique,817-484-0300
Northeast Tarrant Dermatology,817-281-7546
Melt Spa and Massage,623-414-0447
Daireds Salon & Spa Pangea,(817) 465-9797
Med Spa at Seena One,817-504-0346
Dee Dee Ruelas,817-614-0812
Bex Laser Aesthetix,682-227-6110
Resurgence Wellness,817-402-0013
Anthony Tran MD,862-557-6179
Eye LaLa,817-919-3849
Trinity Aesthetics and Laser,817-310-6624
Hospital Growth LLC DBA Center for Aesthetic Surgery,817-503-2442
Derma Clinic,817-337-5888
Beautopia,817-888-4815
Metroplex Dermatology,817-704-4777
ME-HD,817-741-6111
Hideaway Spa and Salon,817-238-0200
Kleiman Evangelista Eye Center,817-784-0222
Compassion Dermatology PLCC,817-380-5911
Calista Skin and Laser,817-488-3838
Physician's Ageless Solutions,682-208-1955
JEM Aesthetics,682-224-3351
The Paragon Plastic Surgery & Med Spa,817-473-2120
Heritage Family Medicine and Aesthetics,817-354-7999
Expert Aesthetics,817-705-0324
Skin RX by Roxanne,682-738-0466
Carrie Morris MD,972-922-3016
North Texas Plastic Surgery,817-416-8080
Mix Salon & Spa,915-351-0032
Envy Aesthetics Center,915-845-3223
Cosmetic Surgery & Laser Centers of El Paso,915-543-5600
Femme Physique Med Spa,915-838-8080
El Paso Cosmetic Surgery,915-351-1116
Foliage Hair Salon and Day Spa ,915-842-9901
Bring Your Skin To Justice,512-787-2922
Westwind Medical Asscociates,915-845-4600
The Woodhouse Day Spa ,512-970-0591
Her Health,915-629-0442
Southwest Plastic Surgery,915-590-7900
MILAN SALON & DAY SPA,915-629-7707
Her Med Spa,915-504-4451
"Invogue Total Women's Healthcare, PLLC",915-633-0585
Evolve Plastic Surgery,915-504-6910
Skin Solutions with Jenn,202-422-8170
Javan Wellness,(202) 868-5993
Milk + Honey Medical Skincare Studio,435-901-8665
Skin DC,703-214-6496
Graham Webb Academy,703-243-9322
Cosmetic Skin Institute DC,202-965-7546
DermaGlow Laser,703-344-5445
The Ritz Carlton- Georgetown,202-912-4100
Nova Medical Skin Care,703-237-7546
The Spa at the Sports Club LA,202-974-6601
Advanced Dermatology and Cosmetic Surgery-Alexandria,(703) 370-0073
"Yolanda Holmes, MD",(202) 737-6800
Javan Wellness,405-308-2812
Esthetic Skin Care,571-344-1666
Cultura Med Spa,202-237-9292
Tamjidi Skin Institute,301-652-4828
Capital Laser & Skin Care,301-798-9699
Jenny Luu Skin Care,301-533-7546
Center for Plastic Surgery,301-652-7700
Jenny Luu Skin Care,202-344-5144
Jules Feledy,540-891-0040
Sugar House Day Spa & Salon,703-549-9940
Par Laser,202-714-4411
Sarah Akram Skincare,703-531-9350
Sechoir Beauty Bar,703-698-8162
Ann's Spa,571-230-2430
"Christopher C. Chang, MD",703-945-1700
Tamjidi Skin Institute,703-345-6677
Johara Aljoharah,202-868-1871
Ninotch: an urban retreat,301-913-0345
Courted at The St. James,703-239-6910
Bitar Cosmetic Surgery Institute Fairfax,703-206-0056
Miracle Hands,703-256-2228
The Ritz Carlton -Tyson's Corner,703-744-3951
Elite Medical Spa,571-620-9845
Gynecology & Wellness Center,703-448-6070
Chevy Chase Facial Plastic Surgery,301-652-8191
Nova Surgicare,703-288-4495
Bethseda Salt Cave - By Cynthia Williams,707-486-2224
Cynthia Wilkins,301-312-6377
1 Parker Medical Group,301-686-8500
Modern Body Contouring & Laser Center,703-740-8333
MGM National Harbor,844-346-4664
Metropolitan ENT & Facial Plastic Surgery,703-313-7700
Skincare Associates,703-255-7237
New Wave at the Promenade,202-262-8421
Life Time Fitness,703-323-8700
Life Time Fitness,703-323-8700
Anne Arundel Dermatology- JOL,301-530-4800
The Dermatology Center,301-968-1200
Physicians Medi Spa,361-857-2010
June's Day Spa,361-826-0618
South Texas Dermatology,(361) 882-5560
Rose Cosmetic Surgery Center,361-651-1200
Coastal Spa MD,361-336-6464
TVV MediSpa,361-994-7500
Renew Medical Spa,361-654-2300
Corpus Christi Plastics,626-975-4372
Padre Dermatology,361-993-0234
Halycon Med Spa,361-452-2637
Premier Med Spa,214-730-6300
McGuiness Dermatology - Richardson,972-316-4555
Bader Facial Plastic Surgery,214-501-2021
Gorgeous Glow Skin Center,469-816-2399
Surface Skin Spa,972-599-2900
McGuiness Dermatology,972-316-4555
Revive Med Spa,972-422-4040
My Spa & Laser Center,972-971-5273
Top Spa,972-365-3931
Tru Derm Allen,(972) 635-3400
North Texas Dermatology ,972-769-8180
Facelogic Spa,972-424-3323
Medical Aesthetics of North Texas,214-577-1777
Vital Wellness & Weight Loss,972-985-5511
Rejuve Med-Spa,972-265-1590
The Skin Studio,713-303-6558
Image Laser Medical Spa,972-746-0036
Christa Eckman LLC,(512) 925-9141
Rejive Med Spa - Plano,844-735-4831
Botanical Oasis Spa,469-573-0132
Luxe Image Medical Spa,469-543-9335
Lily Med Spa,972-503-5459
Med Spa Studios,817-296-4546
Brilliant Skin By Reese ,214-458-6883
Center for Derm & Cosmetic Laser,972-985-9003
PDP of Texas PLLC - Dallas Associated Dermatologist,214-751-2381
Total Med Solutions,(214) 987-9200
Erase Anti Aging Spa,469-772-0000
My Med Spa LLC,972-378-0993
"Naira Babian, MD",972-403-0800
Love Glow Sudio LLC,469-223-1349
Laser Beauty Medical Spa,972-930-0333
Vitalize Medical Spa,972-473-4999
"Bradford A Bader, MD - Facial Plastic and Reconstructive Surgery",214-501-2021
Oasis Med Spa & Laser Center,972-250-9999
Hiatus Spa + Retreat Plano,972-836-0500
It's A Secret MedSpa LLC,469-786-5874
Skintastic,817-368-9838
Beyond Beautiful Cosmetic Surgery and Med Spa,972-608-0990
Ultimate Image,972-800-2127
Avanti Skin Center of Willow Bend,469-229-0921
The Woodhouse Day Spa,214-473-9955
Face Haus Skin Spa,214-729-3053
U Med Spa - Plano,972-943-8633
Skin By Lucy Med,972-854-2267
Vibrant Skinecare and Laser Center,469-396-7748
Renaissance Plastic Surgery,972-378-3870
The Bloom Medical Spa,972-331-7727
Life Time Fitness,214-383-2224
Tru Derm Plano,972-635-3400
Skintology,956-727-0950
Edith Garcia,858-361-3097
PARADISE MED SPA,806-785-7727
Lubbock Plastic Surgery Institute,806-797-6398
Woodhouse Day Spa- Lubbock,806-407-6047
Laser Dynamics,806-794-9705
Smooth Skin Lounge,818-308-7703
Elizabeth Skincare,818-985-0457
Aesthetic Skin Care,818-308-6021
Ask Cares,818-308-6021
The Body Sculpting Studio,818-336-4377
Burbank Plastic Surgery,818-840-0590
Skin Matrix-burbank Plastic Surgery Center,818-848-0590
Treats For The Face,818-762-3132
Luxe Life Mobile Spa,310-916-9810
Advanced Dermatology Center,818-284-4003
Marc Edward Skincare,213-705-8899
Pure Touch Skin Center,818-986-1077
Equinox Fitness Club & Spa,310-289-1900
Equinox Fitness-W Hollywood,310-289-1900
Ole Henriksen Face & Body,310-854-7700
